Month,County,Year ,Unemployment_Rate,State
June,Loyalton city,2020,11.7,CA
June,Lucerne CDP,2020,8,CA
June,Lynwood city,2020,20.8,CA
June,McCloud CDP,2020,19.9,CA
June,McFarland city,2020,21.6,CA
June,McKinleyville CDP,2020,8.7,CA
June,McKittrick CDP,2020,0,CA
June,Madera city,2020,13.5,CA
June,Madera Acres CDP,2020,10,CA
June,Magalia CDP,2020,9,CA
June,Malibu city,2020,13,CA
June,Mammoth Lakes town,2020,2.7,CA
June,Manhattan Beach city,2020,11.2,CA
June,Manteca city,2020,15,CA
June,Manton CDP,2020,11.2,CA
June,March AFB CDP,2020,4.6,CA
June,Maricopa city,2020,23,CA
June,Marina city,2020,17.5,CA
June,Marina del Rey CDP,2020,12.7,CA
June,Mariposa CDP,2020,8,CA
June,Markleeville CDP,2020,0,CA
June,Martinez city,2020,11.9,CA
June,Marysville city,2020,13,CA
June,Mayflower Village CDP,2020,13.5,CA
June,Maywood city,2020,16.8,CA
June,Meadow Valley CDP,2020,38.2,CA
June,Meadow Vista CDP,2020,7.4,CA
June,Mecca CDP,2020,15.9,CA
June,Meiners Oaks CDP,2020,9.3,CA
June,Mendocino CDP,2020,0,CA
June,Mendota city,2020,30.6,CA
June,Menifee City,2020,15.3,CA
June,Menlo Park city,2020,6,CA
June,Mentone CDP,2020,12,CA
June,Merced city,2020,15.7,CA
June,Mesa CDP,2020,11.7,CA
June,Mesa Vista CDP,2020,41.1,CA
June,Mettler CDP,2020,31.6,CA
June,Middletown CDP,2020,17.8,CA
June,Millbrae city,2020,10.6,CA
June,Mill Valley city,2020,6.7,CA
June,Milpitas city,2020,12.2,CA
June,Mineral CDP,2020,19.4,CA
June,Mira Monte CDP,2020,14.7,CA
June,Mission Canyon CDP,2020,3.3,CA
June,Mission Hills CDP,2020,20.4,CA
June,Mission Viejo city,2020,12.3,CA
June,Mi Wuk Village CDP,2020,27.7,CA
June,Modesto city,2020,15.6,CA
June,Mohawk Vista CDP,2020,0,CA
June,Mojave CDP,2020,35.1,CA
June,Mokelumne Hill CDP,2020,27.4,CA
June,Mono Vista CDP,2020,2.1,CA
June,Monrovia city,2020,16.7,CA
June,Montclair city,2020,13.6,CA
June,Montebello city,2020,20.8,CA
June,Montecito CDP,2020,16.7,CA
June,Monterey city,2020,15.9,CA
June,Monterey Park city,2020,25.2,CA
June,Monte Rio CDP,2020,38.1,CA
June,Moorpark city,2020,11.7,CA
June,Morada CDP,2020,0,CA
June,Moraga town,2020,8.6,CA
June,Moreno Valley city,2020,14.9,CA
June,Morgan Hill city,2020,11.1,CA
June,Morongo Valley CDP,2020,12.8,CA
June,Morro Bay city,2020,17.3,CA
June,Moss Landing CDP,2020,0,CA
June,Mountain Mesa CDP,2020,15.7,CA
June,Mountain Ranch CDP,2020,18.4,CA
June,Mountain View CDP,2020,24.2,CA
June,Mountain View city,2020,5.9,CA
June,Mountain View Acres CDP,2020,21.5,CA
